,Questions,Answer,question_clean
580, What is the use of the Activation function?,"The activation function is used to introduce nonlinearity into the neural network so that it can learn more complex function. Without the Activation function, the neural network would be only able to learn function, which is a linear combination of its input data.Activation function translates the inputs into outputs. The activation function is responsible for deciding whether a neuron should be activated or not. It makes the decision by calculating the weighted sum and further adding bias with it. The basic purpose of the activation function is to introduce non-linearity into the output of a neuron.",activ function use
581, How many types of activation function are available?, Binary Step Sigmoid Tanh ReLU Leaky ReLU Softmax Swish ,activ avail function type
582, What is a binary step function?,"The binary step function is an activation function, which is usually based on a threshold. If the input value is above or below a particular threshold limit, the neuron is activated, then it sends the same signal to the next layer. This function does not allow multi-value outputs.",binari function step
583, What is the sigmoid function?,"The sigmoid activation function is also called the logistic function. It is traditionally a trendy activation function for neural networks. The input data to the function is transformed into a value between 0.0 and 1.0. Input values that are much larger than 1.0 are transformed to the value 1.0. Similarly, values that are much smaller than 0.0 are transformed into 0.0. The shape of the function for all possible inputs is an S-shape from zero up through 0.5 to 1.0. It was the default activation used on neural networks, in the early 1990s.",function sigmoid
584, What is Tanh function?,"The hyperbolic tangent function, also known as tanh for short, is a similar shaped nonlinear activation function. It provides output values between -1.0 and 1.0. Later in the 1990s and through the 2000s, this function was preferred over the sigmoid activation function as models. It was easier to train and often had better predictive performance.",function tanh
585, What is ReLU function?,"A node or unit which implements the activation function is referred to as a rectified linear activation unit or ReLU for short. Generally, networks that use the rectifier function for the hidden layers are referred to as rectified networks.Adoption of ReLU may easily be considered one of the few milestones in the deep learning revolution.",function relu
586, What is the use of leaky ReLU function?,The Leaky ReLU (LReLU or LReL) manages the function to allow small negative values when the input is less than zero.,function leaki relu use
587, What is the softmax function?,"The softmax function is used to calculate the probability distribution of the event over 'n' different events. One of the main advantages of using softmax is the output probabilities range. The range will be between 0 to 1, and the sum of all the probabilities will be equal to one. When the softmax function is used for multi-classification model, it returns the probabilities of each class, and the target class will have a high probability.",function softmax
588, What is a Swish function?,"Swish is a new, self-gated activation function. Researchers at Google discovered the Swish function. According to their paper, it performs better than ReLU with a similar level of computational efficiency. ",function swish
589, What is the most used activation function?,Relu function is the most used activation function. It helps us to solve vanishing gradient problems.,activ function
590, Can Relu function be used in output layer?,"No, Relu function has to be used in hidden layers.",function layer output relu
591, In which layer softmax activation function used?,Softmax activation function has to be used in the output layer.,activ function layer softmax
592, What do you understand by Autoencoder?,"Autoencoder is an artificial neural network. It can learn representation for a set of data without any supervision. The network automatically learns by copying its input to the output; typically,internet representation consists of smaller dimensions than the input vector. As a result, they can learn efficient ways of representing the data. Autoencoder consists of two parts; an encoder tries to fit the inputs to the internal representation, and a decoder converts the internal state to the outputs.",autoencod understand
593, What do you mean by Dropout?,"Dropout is a cheap regulation technique used for reducing overfitting in neural networks. We randomly drop out a set of nodes at each training step. As a result, we create a different model for each training case, and all of these models share weights. It's a form of model averaging.",dropout mean
594, What do you understand by Tensors?,"Tensors are nothing but a de facto for representing the data in deep learning. They are just multidimensional arrays, which allows us to represent the data having higher dimensions. In general, we deal with high dimensional data sets where dimensions refer to different features present in the data set.",tensor understand
595, What do you understand by Boltzmann Machine?,"A Boltzmann machine (also known as stochastic Hopfield network with hidden units) is a type of recurrent neural network. In a Boltzmann machine, nodes make binary decisions with some bias. Boltzmann machines can be strung together to create more sophisticated systems such as deep belief networks. Boltzmann Machines can be used to optimize the solution to a problem. Some important points about Boltzmann Machine- It uses a recurrent structure. It consists of stochastic neurons, which include one of the two possible states, either 1 or 0. The neurons present in this are either in an adaptive state (free state) or clamped state (frozen state). If we apply simulated annealing or discrete Hopfield network, then it would become a Boltzmann Machine. ",boltzmann machin understand
596, What is Model Capacity?,"The capacity of a deep learning neural network controls the scope of the types of mapping functions that it can learn. Model capacity can approximate any given function. When there is a higher model capacity, it means that the larger amount of information can be stored in the network.",capac
597, What is the cost function?,"A cost function describes us how well the neural network is performing with respect to its given training sample and the expected output. It may depend on variables such as weights and biases.It provides the performance of a neural network as a whole. In deep learning, our priority is to minimize the cost function. That's why we prefer to use the concept of gradient descent.",cost function
598, Explain gradient descent?,"An optimization algorithm that is used to minimize some function by repeatedly moving in the direction of steepest descent as specified by the negative of the gradient is known as gradient descent. It's an iteration algorithm, in every iteration algorithm, we compute the gradient of a cost function, concerning each parameter and update the parameter of the function via the following formula:Where,Θ - is the parameter vector, α - learning rate,  J(Θ) - is a cost functionIn machine learning, it is used to update the parameters of our model. Parameters represent the coefficients in linear regression and weights in neural networks.",descent gradient
599," Explain the following variant of Gradient Descent: Stochastic, Batch, and Mini-batch?"," Stochastic Gradient Descent Stochastic gradient descent is used to calculate the gradient and update the parameters by using only a single training example. Batch Gradient Descent Batch gradient descent is used to calculate the gradients for the whole dataset and perform just one update at each iteration. Mini-batch Gradient Descent Mini-batch gradient descent is a variation of stochastic gradient descent. Instead of a single training example, mini-batch of samples is used. Mini-batch gradient descent is one of the most popular optimization algorithms. ",batch batch descent gradient mini stochast variant
600, What are the main benefits of Mini-batch Gradient Descent?," It is computationally efficient compared to stochastic gradient descent. It improves generalization by finding flat minima. It improves convergence by using mini-batches. We can approximate the gradient of the entire training set, which might help to avoid local minima. ",batch benefit descent gradient main mini
601, What is matrix element-wise multiplication? Explain with an example.,Element-wise matrix multiplication is used to take two matrices of the same dimensions. It further produces another combined matrix with the elements that are a product of corresponding elements of matrix a and b.,element exampl matrix multipl wise
602, What do you understand by a convolutional neural network?,"A convolutional neural network, often called CNN, is a feedforward neural network. It uses convolution in at least one of its layers. The convolutional layer contains a set of filter (kernels). This filter is sliding across the entire input image, computing the dot product between the weights of the filter and the input image. As a result of training, the network automatically learns filters that can detect specific features.",convolut network neural understand
603, Explain the different layers of CNN.,"There are four layered concepts that we should understand in CNN (Convolutional Neural Network): Convolution This layer comprises of a set of independent filters. All these filters are initialized randomly. These filters then become our parameters which will be learned by the network subsequently. ReLU The ReLu layer is used with the convolutional layer. Pooling It reduces the spatial size of the representation to lower the number of parameters and computation in the network. This layer operates on each feature map independently. Full Collectedness Neurons in a completely connected layer have complete connections to all activations in the previous layer, as seen in regular Neural Networks. Their activations can be easily computed with a matrix multiplication followed by a bias offset. ",cnn differ layer
604, What is an RNN?,"RNN stands for Recurrent Neural Networks. These are the artificial neural networks which are designed to recognize patterns in sequences of data such as handwriting, text, the spoken word, genomes, and numerical time series data. RNN use backpropagation algorithm for training because of their internal memory. RNN can remember important things about the input they received, which enables them to be very precise in predicting what's coming next.",rnn
605, What are the issues faced while training in Recurrent Networks?,"Recurrent Neural Network uses backpropagation algorithm for training, but it is applied on every timestamp. It is usually known as Back-propagation Through Time (BTT).There are two significant issues with Back-propagation, such as: Vanishing Gradient When we perform Back-propagation, the gradients tend to get smaller and smaller because we keep on moving backward in the Network. As a result, the neurons in the earlier layer learn very slowly if we compare it with the neurons in the later layers.Earlier layers are more valuable because they are responsible for learning and detecting simple patterns. They are the building blocks of the network. If they provide improper or inaccurate results, then how can we expect the next layers and complete network to perform nicely and provide accurate results. The training procedure tales long, and the prediction accuracy of the model decreases. Exploding Gradient Exploding gradients are the main problem when large error gradients accumulate. They provide result in very large updates to neural network model weights during training. Gradient Descent process works best when updates are small and controlled. When the magnitudes of the gradient accumulate, an unstable network is likely to occur. It can cause poor prediction of results or even a model that reports nothing useful. ",face issu network recurr train
606, Explain the importance of LSTM.,"LSTM stands for Long short-term memory. It is an artificial RNN (Recurrent Neural Network) architecture, which is used in the field of deep learning. LSTM has feedback connections which makes it a ""general purpose computer."" It can process not only a single data point but also entire sequences of data.They are a special kind of RNN which are capable of learning long-term dependencies.",import lstm
607, What are the different layers of Autoencoders? Explain briefly.,An autoencoder contains three layers: Encoder The encoder is used to compress the input into a latent space representation. It encodes the input images as a compressed representation in a reduced dimension. The compressed images are the distorted version of the original image. Code The code layer is used to represent the compressed input which is fed to the decoder. Decoder The decoder layer decodes the encoded image back to its original dimension. The decoded image is a reduced reconstruction of the original image. It is automatically reconstructed from the latent space representation. ,autoencod briefli differ layer
608, What do you understand by Deep Autoencoders?,"Deep Autoencoder is the extension of the simple Autoencoder. The first layer present in DeepAutoencoder is responsible for first-order functions in the raw input. The second layer is responsible for second-order functions corresponding to patterns in the appearance of first-order functions. Deeper layers which are available in the Deep Autoencoder tend to learn even high-order features.A deep autoencoder is the combination of two, symmetrical deep-belief networks: First four or five shallow layers represent the encoding half. The other combination of four or five layers makes up the decoding half. ",autoencod deep understand
609, What are the three steps to developing the necessary assumption structure in Deep learning?,"The procedure of developing an assumption structure involves three specific actions.  The first step contains algorithm development. This particular process is lengthy. The second step contains algorithm analyzing, which represents the in-process methodology.  The third step is about implementing the general algorithm in the final procedure. The entire framework is interlinked and required for throughout the process. ",assumpt deep develop learn necessari step structur three
610," What do you understand by Perceptron? Also, explain its type.",A perceptron is a neural network unit (an artificial neuron) that does certain computations to detect features. It is an algorithm for supervised learning of binary classifiers. This algorithm is used to enable neurons to learn and processes elements in the training set one at a time.There are two types of perceptrons: Single-Layer Perceptron Single layer perceptrons can learn only linearly separable patterns. Multilayer Perceptrons Multilayer perceptrons or feedforward neural networks with two or more layers have the higher processing power. © Copyright 2011-2021 www.javatpoint.com. All rights reserved. Developed by JavaTpoint.,also perceptron type understand
611,  What is a Neural Network?,"Neural Networks replicate the way humans learn, inspired by how the neurons in our brains fire, only much simpler.The most common Neural Networks consist of three network layers: An input layer A hidden layer (this is the most important layer where feature extraction takes place, and adjustments are made to train faster and function better) An output layer Each sheet contains neurons called “nodes,” performing various operations. Neural Networks are used in deep learning algorithms like CNN, RNN, GAN, etc.Post Graduate Program in AI and Machine LearningIn Partnership with Purdue UniversityExplore Course",network neural
612,  What Are the Different Layers on CNN?,"There are four layers in CNN: Convolutional Layer -  the layer that performs a convolutional operation, creating several smaller picture windows to go over the data. ReLU Layer - it brings non-linearity to the network and converts all the negative pixels to zero. The output is a rectified feature map. Pooling Layer - pooling is a down-sampling operation that reduces the dimensionality of the feature map. Fully Connected Layer - this layer recognizes and classifies the objects in the image. ",cnn differ layer
613,  Explain Generative Adversarial Network.,"Suppose there is a wine shop purchasing wine from dealers, which they resell later. But some dealers sell fake wine. In this case, the shop owner should be able to distinguish between fake and authentic wine.The forger will try different techniques to sell fake wine and make sure specific techniques go past the shop owner’s check. The shop owner would probably get some feedback from wine experts that some of the wine is not original. The owner would have to improve how he determines whether a wine is fake or authentic.The forger’s goal is to create wines that are indistinguishable from the authentic ones while the shop owner intends to tell if the wine is real or not accurately.Let us understand this example with the help of an image shown above.There is a noise vector coming into the forger who is generating fake wine.Here the forger acts as a Generator.The shop owner acts as a Discriminator.The Discriminator gets two inputs; one is the fake wine, while the other is the real authentic wine. The shop owner has to figure out whether it is real or fake.So, there are two primary components of Generative Adversarial Network (GAN) named: Generator Discriminator The generator is a CNN that keeps keys producing images and is closer in appearance to the real images while the discriminator tries to determine the difference between real and fake images The ultimate aim is to make the discriminator learn to identify real and fake images.",adversari gener network
614,  What is the difference between Machine Learning and Deep Learning?,"Machine Learning forms a subset of Artificial Intelligence, where we use statistics and algorithms to train machines with data, thereby helping them improve with experience. Deep Learning is a part of Machine Learning, which involves mimicking the human brain in terms of structures called neurons, thereby forming neural networks.  Machine Learning forms a subset of Artificial Intelligence, where we use statistics and algorithms to train machines with data, thereby helping them improve with experience.Deep Learning is a part of Machine Learning, which involves mimicking the human brain in terms of structures called neurons, thereby forming neural networks.",deep learn learn machin
615,  What is the meaning of overfitting?,"Overfitting is a very common issue when working with Deep Learning. It is a scenario where the Deep Learning algorithm vigorously hunts through the data to obtain some valid information. This makes the Deep Learning model pick up noise rather than useful data, causing very high variance and low bias. This makes the model less accurate, and this is an undesirable effect that can be prevented.  Overfitting is a very common issue when working with Deep Learning. It is a scenario where the Deep Learning algorithm vigorously hunts through the data to obtain some valid information. This makes the Deep Learning model pick up noise rather than useful data, causing very high variance and low bias. This makes the model less accurate, and this is an undesirable effect that can be prevented.",overfit
616,  What is the use of the loss function?,"The loss function is used as a measure of accuracy to see if a neural network has learned accurately from the training data or not. This is done by comparing the training dataset to the testing dataset. The loss function is a primary measure of the performance of the neural network. In Deep Learning, a good performing network will have a low loss function at all times when training.  The loss function is used as a measure of accuracy to see if a neural network has learned accurately from the training data or not. This is done by comparing the training dataset to the testing dataset. The loss function is a primary measure of the performance of the neural network. In Deep Learning, a good performing network will have a low loss function at all times when training.",function loss use
617,  What are hyperparameters in Deep Learning?,"Hyperparameters are variables used to determine the structure of a neural network. They are also used to understand parameters, such as the learning rate and the number of hidden layers and more, present in the neural network. Hyperparameters are variables used to determine the structure of a neural network. They are also used to understand parameters, such as the learning rate and the number of hidden layers and more, present in the neural network.",deep hyperparamet learn
618,  What is the meaning of dropout in Deep Learning?,"Dropout is a technique that is used to avoid overfitting a model in Deep Learning. If the dropout value is too low, then it will have minimal effect on learning. If it is too high, then the model can under-learn, thereby causing lower efficiency. Dropout is a technique that is used to avoid overfitting a model in Deep Learning. If the dropout value is too low, then it will have minimal effect on learning. If it is too high, then the model can under-learn, thereby causing lower efficiency.",deep dropout learn
619,  What are tensors?,"Tensors are multidimensional arrays in Deep Learning that are used to represent data. They represent the data with higher dimensions. Due to the high-level nature of the programming languages, the syntax of tensors are easily understood and broadly used. Tensors are multidimensional arrays in Deep Learning that are used to represent data. They represent the data with higher dimensions. Due to the high-level nature of the programming languages, the syntax of tensors are easily understood and broadly used.",tensor
620,  What is a computational graph in Deep Learning?,"A computation graph is a series of operations that are performed to take in inputs and arrange them as nodes in a graph structure. It can be considered as a way of implementing mathematical calculations into a graph. This helps in parallel processing and provides high performance in terms of computational capability. If you are looking forward to becoming an expert in Deep Learning, make sure to check out Intellipaat’s AI Engineer Course. A computation graph is a series of operations that are performed to take in inputs and arrange them as nodes in a graph structure. It can be considered as a way of implementing mathematical calculations into a graph. This helps in parallel processing and provides high performance in terms of computational capability.If you are looking forward to becoming an expert in Deep Learning, make sure to check out Intellipaat’s AI Engineer Course.",comput deep graph learn
621,  What are the various layers present in a CNN?,There are four main layers that form a convolutional neural network:  Convolution: These are layers consisting of entities called filters that are used as parameters to train the network. ReLu: It is used as the activation function and used always with the convolution layer. Pooling: Pooling is the concept of shrinking the complex data entities that form after convolution and is primarily used to maintain the size of an image after shrinkage. Connectedness: This is used to ensure that all of the layers in the neural network are fully connected and activation can be computed using the bias easily.  There are four main layers that form a convolutional neural network: Convolution: These are layers consisting of entities called filters that are used as parameters to train the network. ReLu: It is used as the activation function and used always with the convolution layer. Pooling: Pooling is the concept of shrinking the complex data entities that form after convolution and is primarily used to maintain the size of an image after shrinkage. Connectedness: This is used to ensure that all of the layers in the neural network are fully connected and activation can be computed using the bias easily. ,cnn layer present variou
622,  What is a vanishing gradient when using RNNs?,"Vanishing gradient is a scenario that occurs when we use RNNs. Since RNNs make use of backpropagation, gradients at every step of the way will tend to get smaller as the network traverses through backward iterations. This equates to the model learning very slowly, thereby causing efficiency problems in the network. Vanishing gradient is a scenario that occurs when we use RNNs. Since RNNs make use of backpropagation, gradients at every step of the way will tend to get smaller as the network traverses through backward iterations. This equates to the model learning very slowly, thereby causing efficiency problems in the network.",gradient rnn vanish
623,  What is the role of the C hyper-parameter in SVM? Does it affect the bias/variance trade-off?,👉 The balance between keeping the margins as large as possible and limiting the margin violation is controlled by the C parameter: a small value leads to a wider street but more margin violation and a higher value of C makes fewer margin violations but ends up with a smaller margin and overfitting.👉 Here thing becomes a little complex as we have conflicting objectives of making the slack variables as small as possible to reduce margin violation and make W as small as possible to increase the margin. This is where the role of the C hyperparameter comes in which allows us to define the trade-off between these two objectives.,affect bia c hyper paramet role svm trade varianc
624,  Explain different types of kernel functions.,"A function is called kernel if there exist a function ϕ that maps a and b into another space such that K(a, b) = ϕ(a)T · ϕ(b). So you can use K as a kernel since you just know that a mapping ϕ exists, even if you don’t know what ϕ function is. These are the very good things about kernels.Some of the kernel functions are as follows:👉 Polynomial Kernel: These are the kernel functions that represent the similarity of vectors in a feature space over polynomials of original variables.👉 Gaussian Radial Basis Function (RBF) kernel:  Gaussian RBF kernel maps each training instance to an infinite-dimensional space, therefore it’s a good thing that you don’t need to perform the mapping.Image Source: link",differ function kernel type
625,  Explain about SVM Regression?,"Explanation: The Support Vector Regression (SVR) uses the same principles as the SVM for classification, with only a few minor differences. First of all, because the output is a real number it becomes very difficult to predict the information at hand, which has infinite possibilities. In the case of regression, a margin of tolerance (epsilon) is set in approximation to the SVM",regress svm
626,  Give some situations where you will use an SVM over a RandomForest Machine Learning algorithm.,Explanation:,learn machin randomforest situat svm use
627,  Can we apply the kernel trick to logistic regression? Why is it not used in practice then?,Explanation:,appli kernel logist practic regress trick
628,"Generic question for any algorithm: ADA? (Advantages, Disadvantages and Assumptions)","Advantages:Turnkey algorithm, very few parameters to optimize.Optimization is in convex space so a global minimum is reached unlike neural network it doesn’t suffer with problem of stucking at local minima.Memory efficientLinear SVM is more effective than other algorithm if the number of features are highe (>1000)Disadvantages:Feature scalingTends to get slower as number of examples increasesHard margin leads to overfittingAssumptions:None",ada advantag assumpt disadvantag gener question
629,  How to choose the optimal value of K in the KNN Algorithm?,"There is no straightforward method to find the optimal value of K in the KNN algorithm.You have to play around with different values to choose which value of K should be optimal for my problem statement. Choosing the right value of K is done through a process known as Hyperparameter Tuning.The optimum value of K for KNN is highly dependent on the data itself. In different scenarios, the optimum K may vary. It is more or less a hit and trial method.There is no one proper method of finding the K value in the KNN algorithm. No method is the rule of thumb but you should try the following suggestions:",choos k knn optim valu
630,"  Cross-Validation Method: We should also take the help of cross-validation to find out the optimal value of K in KNN. Start with the minimum value of k i.e, K=1, and run cross-validation, measure the accuracy, and keep repeating till the results become consistent.","As the value of K increases, the error usually goes down after each one-step increase in K, then stabilizes, and then raises again. Finally, pick the optimum K at the beginning of the stable zone. This technique is also known as the Elbow Method. Image Source: Google Images",1 accuraci also becom consist cross cross cross e k k k keep knn measur method minimum optim repeat result run start take till valid valid valid valu valu
631,  Domain Knowledge: Sometimes with the help of domain knowledge for a particular use case we are able to find the optimum value of K (K should be an odd number).,I would therefore suggest trying a mix of all the above points to reach any conclusion.,abl case domain domain k k knowledg knowledg odd optimum particular sometim use valu
632,  What are the advantages of the KNN Algorithm?,Some of the advantages of the KNN algorithm are as follows:,advantag knn
633,"  No Training Period: It does not learn anything during the training period since it does not find any discriminative function with the help of the training data. In simple words, actually, there is no training period for the KNN algorithm. It stores the training dataset and learns from it only when we use the algorithm for making the real-time predictions on the test dataset.","As a result, the KNN algorithm is much faster than other algorithms which require training. For Example, SupportVector Machines(SVMs), Linear Regression, etc.Moreover, since the KNN algorithm does not require any training before making predictions as a result new data can be added seamlessly without impacting the accuracy of the algorithm.",actual anyth data dataset dataset discrimin function knn learn learn make period period period predict real simpl sinc store test time train train train train train use word
634,  What are the disadvantages of the KNN Algorithm?,Some of the disadvantages of the KNN algorithm are as follows:,disadvantag knn
635,  What are the real-life applications of KNN Algorithms?,The various real-life applications of the KNN Algorithm includes:,algorithm applic knn life real
636,What is the Central Limit Theorem and why is it important?,"Suppose that we are interested in estimating the average height among all people. Collecting data for  every person in the world is impossible. While we can’t obtain a height measurement from everyone in the  population, we can still sample some people. The question now becomes, what can we say about the  average height of the entire population given a single sample. The Central Limit Theorem addresses this  question exactly.",central import limit theorem
637,What is sampling? How many sampling methods do you know?,"Data sampling is a statistical analysis technique used to select, manipulate and analyze a representative  subset of data points to identify patterns and trends in the larger data set being examined",know method sampl sampl
638,What is the difference between type I vs type II error?,"A type I error occurs when the null hypothesis is true, but is rejected. A type II error occurs when the null  hypothesis is false, but erroneously fails to be rejected.",error ii type type v
639,"What is linear regression? What do the terms p-value, coefficient, and r-squared  value mean? What is the significance of each of these components? ","A linear regression is a good tool for quick predictive analysis: for example, the price of a house depends  on a myriad of factors, such as its size or its location. In order to see the relationship between these  variables, we need to build a linear regression, which predicts the line of best fit between them and can  help conclude whether or not these two factors have a positive or negative relationship.",coeffici compon linear mean p r regress signific squar term valu valu
640,What are the assumptions required for linear regression?,"There are four major assumptions: 1. There is a linear relationship between the dependent variables and  the regressors, meaning the model you are creating actually fits the data, 2. The errors or residuals of the  data are normally distributed and independent from each other, 3. There is minimal multicollinearity  between explanatory variables, and 4. Homoscedasticity. This means the variance around the regression  line is the same for all values of the predictor variable",assumpt linear regress
641,What is a statistical interaction?,"Basically, an interaction is when the effect of one factor (input variable) on the dependent variable (output  variable) differs among levels of another factor",interact statist
642,What is selection bias?,"Selection (or ‘sampling’) bias occurs in an ‘active,’ sense when the sample data that is gathered and  prepared for modeling has characteristics that are not representative of  . the true, future population of cases",bia select
643,What is the Binomial Probability Formula? ,The binomial distribution consists of the probabilities of each of the possible numbers of successes on N  trials for independent events that each have a probability of ? (the Greek letter pi) of occurring.,binomi formula probabl
644,What is Selection Bias? ,"Selection bias is a kind of error that occurs when the researcher decides who is going to be studied. It is  usually associated with research where the selection of participants  as the selection effect. It is the distortion of statistical analysis, resulting from the method of collecting  samples. If the selection bias is not taken into account, then some conclusions of the study may not be  accurate.  isn’t random. It is sometimes referred to",bia select
645,What is a confusion matrix? ,"The confusion matrix is a 2X2 table that contains 4 outputs provided by the binary classifier. Various  measures, such as error-rate, accuracy, specificity, sensitivity, precision and recall are derived from  it. Confusion Matrix ",confus matrix
646,What do you understand by the term Normal Distribution?,"Data is usually distributed in different ways with a bias to the left or to the right or it can all be jumbled up.However, there are chances that data is distributed around a central value without any bias to the left or right  and reaches normal distribution in the form of a bell-shaped curve. ",distribut normal term understand
647,What is correlation and covariance in statistics?,"Covariance and Correlation are two mathematical concepts; these two approaches are widely used in  statistics. Both Correlation and Covariance establish the relationship and also measure the dependency  between two random variables. Though the work is similar between these two in mathematical terms, they  are different from each other. Covariance: In covariance two items vary together and it’s a measure that indicates the extent to which two  random variables change in cycle. It is a statistical term; it explains the systematic relation between a pair of  random variables, wherein changes in one variable reciprocal by a corresponding change in another  variable.",correl covari statist
648,What is an example of a data set with a non-Gaussian distribution?,"The Gaussian distribution is part of the Exponential family of distributions, but there are a lot more of  them, with the same sort of ease of use, in many cases, and if the person doing the machine learning has  a solid grounding in statistics, they can be utilized where appropriate.",data distribut exampl gaussian non set
649,What is the difference between Point Estimates and Confidence Interval?,"Point Estimation gives us a particular value as an estimate of a population parameter. Method of Moments  and Maximum Likelihood estimator methods are used to derive Point Estimators for population parameters. A confidence interval gives us a range of values which is likely to contain the population parameter. The  confidence interval is generally preferred, as it tells us how likely this interval is to contain the population  parameter. This likeliness or probability is called Confidence Level or Confidence coefficient and represented  by 1 — alpha, where alpha is the level of significance.",confid estim interv point
650,What is the goal of A/B Testing?,It is a hypothesis testing for a randomized experiment with two variables A and B. The goal of A/B Testing is to identify any changes to the web page to maximize or increase the outcome of  interest. A/B testing is a fantastic method for figuring out the best online promotional and marketing strategies  for your business.,b goal test
651,What is p-value?,"When you perform a hypothesis test in statistics, a p-value can help you determine the strength of your  results. p-value is a number between 0 and 1. Based on the value it will denote the strength of the results.  The claim which is on trial is called the Null Hypothesis. Low p-value (? 0.05) indicates strength against the null hypothesis which means we can reject the null  Hypothesis. High p-value (? 0.05) indicates strength for the null hypothesis which means we can accept the  null Hypothesis p-value of 0.05 indicates the Hypothesis could go either way. To put it in another way, High P values: your data are likely with a true null. Low P values: your data are unlikely with a true null. ",p valu
652,What do you understand by statistical power of sensitivity and how do you calculate it?,"Sensitivity is commonly used to validate the accuracy of a classifier (Logistic, SVM, Random Forest etc.) Sensitivity is nothing but “Predicted True events/ Total events”. True events here are the events which were  true and model also predicted them as true. Calculation of seasonality is pretty straightforward. Seasonality = ( True Positives ) / ( Positives in Actual Dependent Variable ) ",calcul power sensit statist understand
653, Why Is Re-sampling Done? ,"Resampling is done in any of these cases: Estimating the accuracy of sample statistics by using subsets of accessible data or drawing randomly  with replacement from a set of data points. Substituting labels on data points when performing significance tests. Validating models by using random subsets (bootstrapping, cross-validation) ",done sampl
654,What are the differences between over-fitting and under-fitting?,"In overfitting, a statistical model describes random error or noise instead of the underlying relationship.  Overfitting occurs when a model is excessively complex, such as having too many parameters relative to  the number of observations. A model that has been overfitted, has poor predictive performance, as it  overreacts to minor fluctuations in the training data. Underfitting occurs when a statistical model or machine learning algorithm cannot capture the underlying  trend of the data. Underfitting would occur, for example, when fitting a linear model to non-linear data. Such  a model too would have poor predictive performance.",differ fit fit
655, How to combat Overfitting and Underfitting?,"To combat overfitting and underfitting, you can resample the data to estimate the model accuracy (k-fold  cross-validation) and by having a validation dataset to evaluate the model. ",combat overfit underfit
656,What is regularisation? Why is it useful?,Regularisation is the process of adding tuning parameter to a model to induce smoothness in order to prevent  overfitting. This is most often done by adding a constant multiple to an existing weight vector. This constant  is often the L1(Lasso) or L2(ridge). The model predictions should then minimize the loss function calculated  on the regularized training set. ,regularis use
657,What Is the Law of Large Numbers?,"It is a theorem that describes the result of performing the same experiment a large number of times. This  theorem forms the basis of frequency-style thinking. It says that the sample means, the sample variance  and the sample standard deviation converge to what they are trying to estimate.",larg law number
658,What Are Confounding Variables?,"In statistics, a confounder is a variable that influences both the dependent variable and independent variable.A confounding variable here would be any other variable that affects both of these variables, such as the age  of the subject. ",confound variabl
659, What Are the Types of Biases That Can Occur During Sampling?,"Selection bias, Under coverage bias, Survivorship bias. ",bias occur sampl type
660,What is Survivorship Bias?,It is the logical error of focusing aspects that support surviving some process and casually overlooking those  that did not work because of their lack of prominence. This can lead to wrong conclusions in numerous  different means. ,bia survivorship
661,Explain how a ROC curve works?,The ROC curve is a graphical representation of the contrast between true positive rates and false-positive  rates at various thresholds. It is often used as a proxy for the trade-off between the sensitivity(true positive  rate) and false-positive rate.,curv roc work
662,What is TF/IDF vectorization?,"TF–IDF is short for term frequency-inverse document frequency, is a numerical statistic that is intended to  reflect how important a word is to a document in a collection or corpus. It is often used as a weighting factor  in information retrieval and text mining. The TF–IDF value increases proportionally to the number of times a word appears in the document but is  offset by the frequency of the word in the corpus, which helps to adjust for the fact that some words appear  more frequently in general.",idf tf vector
663,Python or R – Which one would you prefer for text analytics? ,We will prefer Python because of the following reasons:  Python would be the best option because it has Pandas library that provides easy to use data  structures and high-performance data analysis tools. R is more suitable for machine learning than just text analysis.  Python performs faster for all types of text analytics.,analyt prefer python r text would
664,How does data cleaning plays a vital role in the analysis?,"Data cleaning can help in analysis because: Cleaning data from multiple sources helps to transform it into a format that data analysts or data  scientists can work with. Data Cleaning helps to increase the accuracy of the model in machine learning. It is a cumbersome process because as the number of data sources increases, the time taken to  clean the data increases exponentially due to the number of sources and the volume of data  generated by these sources. It might take up to 80% of the time for just cleaning data ",analysi clean data play role vital
665,"Differentiate between univariate, bivariate and multivariate analysis.","Univariate analyses are descriptive statistical analysis techniques which can be differentiated based on the  number of variables involved at a given point of time. For example, the pie charts of sales based on territory  involve only one variable and can the analysis can be referred to as univariate analysis. The bivariate analysis attempts to understand the difference between two variables at a time as in a  scatterplot. For example, analyzing the volume of sale and spending can be considered as an example of  bivariate analysis. Multivariate analysis deals with the study of more than two variables to understand the effect of variables  on the responses.",analysi bivari differenti multivari univari
666,What is Cluster Sampling? ,"Cluster sampling is a technique used when it becomes difficult to study the target population spread across  a wide area and simple random sampling cannot be applied. Cluster Sample is a probability sample where  each sampling unit is a collection or cluster of elements. For eg., A researcher wants to survey the academic performance of high school students in Japan. He can  divide the entire population of Japan into different clusters (cities). Then the researcher selects a number of  clusters depending on his research through simple or systematic random sampling. ",cluster sampl
